work_id,year,field,filter_sample_has_abstract,direct_lookup_has_abstract
https://openalex.org/W4255543816,2014,cs,False,False
https://openalex.org/W7144700407,1988,cs,False,False
https://openalex.org/W2166457459,1972,physics,False,False
https://openalex.org/W4391729430,2024,physics,False,False
https://openalex.org/W583295268,1975,cs,False,False
https://openalex.org/W294093727,1978,cs,False,False
https://openalex.org/W3021453649,1995,physics,False,False
https://openalex.org/W4246021586,1981,cs,False,False
https://openalex.org/W3158327968,2021,cs,False,False
https://openalex.org/W2465184959,2005,physics,False,False
https://openalex.org/W2404474635,1976,cs,False,False
https://openalex.org/W2242266685,1990,physics,False,False
https://openalex.org/W1848486465,1996,cs,False,False
https://openalex.org/W2470999904,1974,cs,False,False
https://openalex.org/W2996746183,1980,cs,False,False
https://openalex.org/W2258836189,1978,physics,False,False
https://openalex.org/W3012301993,1976,physics,False,False
https://openalex.org/W2953240129,1978,cs,False,False
https://openalex.org/W4240976300,2000,cs,False,False
https://openalex.org/W7113144854,1980,cs,False,False
https://openalex.org/W2281432380,1998,physics,False,False
https://openalex.org/W2070600099,1977,physics,False,False
https://openalex.org/W2121770018,1976,cs,False,False
https://openalex.org/W3025612429,2001,physics,False,False
https://openalex.org/W2950616055,1985,cs,False,False
https://openalex.org/W2247967054,1997,cs,False,False
https://openalex.org/W3013912653,2017,physics,False,False
https://openalex.org/W4236204202,2017,physics,False,False
https://openalex.org/W1538633590,2005,physics,False,False
https://openalex.org/W3169408353,1977,cs,False,False
https://openalex.org/W2017108518,2003,physics,False,False
https://openalex.org/W2081500376,2005,physics,False,False
https://openalex.org/W273545676,1972,physics,False,False
https://openalex.org/W1582793972,1975,cs,False,False
https://openalex.org/W1902453196,1997,cs,False,False
https://openalex.org/W2286749391,1975,cs,False,False
https://openalex.org/W4232958083,1999,physics,False,False
https://openalex.org/W4230679964,1986,cs,False,False
https://openalex.org/W633467086,2007,cs,False,False
https://openalex.org/W2085270460,1976,physics,False,False
https://openalex.org/W578047159,1987,cs,False,False
https://openalex.org/W2487943380,1996,physics,False,False
https://openalex.org/W2141255629,1984,cs,False,False
https://openalex.org/W1483397645,2002,physics,False,False
https://openalex.org/W381811451,2011,cs,False,False
https://openalex.org/W4406478272,2000,physics,False,False
https://openalex.org/W2463611090,1992,cs,False,False
https://openalex.org/W428372000,1982,cs,False,False
https://openalex.org/W1588053947,2004,physics,False,False
https://openalex.org/W2078494223,2002,physics,False,False
https://openalex.org/W3049445450,2020,physics,False,False
https://openalex.org/W2222912709,1993,cs,False,False
https://openalex.org/W4319990663,2023,cs,False,False
https://openalex.org/W638385511,1981,cs,False,False
https://openalex.org/W2260974772,1997,physics,False,False
https://openalex.org/W4241794965,1977,cs,False,False
https://openalex.org/W2058183996,2000,physics,False,False
https://openalex.org/W2012798458,1977,cs,False,False
https://openalex.org/W908063457,2014,physics,False,False
https://openalex.org/W380458579,1995,cs,False,False
https://openalex.org/W2327989338,1988,physics,False,False
https://openalex.org/W4205763335,1995,physics,False,False
https://openalex.org/W2005258847,1977,physics,False,False
https://openalex.org/W2077871195,2012,cs,False,False
https://openalex.org/W2010858512,1983,physics,False,False
https://openalex.org/W3208981217,1981,physics,False,False
https://openalex.org/W4410659783,2020,cs,False,False
https://openalex.org/W4254582708,2009,cs,False,False
https://openalex.org/W201783461,2001,cs,False,False
https://openalex.org/W188293084,1992,cs,False,False
https://openalex.org/W4205463628,2000,cs,False,False
https://openalex.org/W2999064410,1979,cs,False,False
https://openalex.org/W2328624962,2003,physics,False,False
https://openalex.org/W3197695660,2009,cs,False,False
https://openalex.org/W4206367527,1993,physics,False,False
https://openalex.org/W2416860156,1988,physics,False,False
https://openalex.org/W3146233431,2017,cs,False,False
https://openalex.org/W2996683879,1980,physics,False,False
https://openalex.org/W2262792211,2007,cs,False,False
https://openalex.org/W1921688479,2012,physics,False,False
https://openalex.org/W2068431353,1978,cs,False,False
https://openalex.org/W2038139833,1984,cs,False,False
https://openalex.org/W2137870559,1991,physics,False,False
https://openalex.org/W1998137462,1976,physics,False,False
https://openalex.org/W2578326477,1990,cs,False,False
https://openalex.org/W2579695531,2017,cs,False,False
https://openalex.org/W2590989536,1988,cs,False,False
https://openalex.org/W2995296712,1987,physics,False,False
https://openalex.org/W1974431683,1976,physics,False,False
https://openalex.org/W4244751521,1974,cs,False,False
https://openalex.org/W414056837,1979,cs,False,False
https://openalex.org/W877499898,1999,physics,False,False
https://openalex.org/W62453105,2003,physics,False,False
https://openalex.org/W4214536128,2012,cs,False,False
https://openalex.org/W2952595575,2017,cs,False,False
https://openalex.org/W2883997296,2018,cs,False,False
https://openalex.org/W2097697637,2008,physics,False,False
https://openalex.org/W2989964205,1988,physics,False,False
https://openalex.org/W2613484890,2004,physics,False,False
https://openalex.org/W2418738373,1982,physics,False,False
